3.47    0
2.94	89.31
3.47	75.39
2.94	89.31
3.47	75.39
2.94	89.31
3.47	75.39
2.94	89.31
3.47	75.39
2.94	89.31
3.47	75.39
2.94	89.31
3.47	75.39
2.94	89.45
3.47	75.39
2.94	88.75
3.47	75.11
2.94	88.33
3.47	74.54
2.94	87.76
3.47	74.4
2.94	87.34
3.47	73.84
2.94	86.92
3.47	73.42
2.94	86.5
3.47	73.14
2.94	86.08
3.47	72.57
2.94	85.65
3.47	72.15
2.94	85.09
3.47	71.87
2.94	84.53
3.47	71.45
2.94	84.25
3.47	71.17
2.94	83.83
3.47	70.6
2.94	83.4
3.47	70.32
2.94	82.84
3.47	69.9
2.94	82.42
3.47	69.76
2.94	82.14
3.47	69.34
2.94	81.72
3.47	68.92
2.94	81.43
3.47	68.64
2.94	80.73
3.47	68.35
2.94    0
